wl,robin_nest
300,6.9
302.871405,6.815787106
311.4404189,6.364949861
319.5003958,5.939387401
328.449831,5.622175042
340.2823458,5.326335759
348.6779437,5.304328616
357.0728636,5.358597835
364.8723633,5.616028988
373.8576183,6.039208989
382.7815232,6.686108815
391.7038123,7.514800638
400.0917261,8.357258931
408.5140715,9.14224126
416.0553215,9.83208405
424.723516,10.62571229
433.2570269,11.30689536
441.8069709,12.04738785
450.3755787,12.59625466
458.2579139,13.07492179
466.9788747,13.65648008
476.0563551,14.19856206
485.2101608,14.74025136
494.3633543,15.35080126
503.0600386,15.80140811
511.4006945,16.23623799
519.4613436,16.68908134
527.7760848,17.17724723
536.2333776,17.84674589
544.3269378,18.4131842
553.02286,18.9495172
561.4905758,19.40045458
569.8809066,19.97100176
578.1943081,20.6098841
587.2620958,21.01578412
596.2747289,21.49357965
604.4840015,22.13849347
613.0571859,22.43268292
620.5332423,22.8246167
629.2567276,23.12216662
637.7759943,23.49776649
647.6243299,23.96127252
656.7329444,24.18305419
667.0621037,24.592951
675.7320845,25.0755501
683.0653411,25.5308988
691.0044433,25.82776379
698.8084809,26.30855043
700,26.8
